id,review_avg,rank,count,region
450461,4.8999999999999995,51.75,16.0,9
555007,4.8999999999999995,28.1875,16.0,9
1023040,3.94,41.53333333333333,15.0,9
294606,4.799999999999999,11.5,14.0,9
268542,4.6000000000000005,52.92857142857143,14.0,9
482212,5.0,71.0,14.0,9
257183,4.800000000000001,66.07692307692308,13.0,9
254883,4.599999999999997,38.734939759036145,83.0,10
7132,4.300000000000001,40.888888888888886,72.0,10
275773,4.700000000000001,48.43333333333333,60.0,10
568773,4.900000000000003,56.016666666666666,60.0,10
446500,4.299999999999998,38.91525423728814,59.0,10
426762,4.752542372881358,29.88135593220339,59.0,10
229956,4.599999999999998,12.796610169491526,59.0,10
461750,2.542372881355932,25.10169491525424,59.0,10
307767,4.8,49.67796610169491,59.0,10
217199,4.5,38.0,59.0,10
319857,4.8,14.423728813559322,59.0,10
541047,4.8,2.0,59.0,10
231147,4.5,10.0,59.0,10
2523,4.5,27.779661016949152,59.0,10
250260,4.8,56.206896551724135,58.0,10
275061,4.700000000000001,53.48275862068966,58.0,10
378694,4.8,12.017543859649123,57.0,10
563317,4.700000000000002,26.42105263157895,57.0,10
225655,4.700000000000002,21.70175438596491,57.0,10
500097,4.900000000000003,63.1578947368421,57.0,10
371857,4.700000000000002,22.732142857142858,56.0,10
249743,4.700000000000002,58.410714285714285,56.0,10
295931,4.700000000000001,10.928571428571429,56.0,10
1027803,4.821818181818182,39.945454545454545,55.0,10
287577,4.400000000000002,29.036363636363635,55.0,10
443038,4.900000000000002,59.111111111111114,54.0,10
1027798,4.737037037037037,35.7037037037037,54.0,10
511243,4.599999999999998,41.72222222222222,54.0,10
1027794,4.533962264150943,38.84905660377358,53.0,10
566642,4.900000000000003,41.509433962264154,53.0,10
302801,4.799999999999999,9.660377358490566,53.0,10
495264,4.900000000000002,46.40384615384615,52.0,10
404517,4.700000000000002,34.09803921568628,51.0,10
404577,4.799999999999999,25.705882352941178,51.0,10
404535,4.799999999999999,18.88235294117647,51.0,10
277665,4.700000000000002,60.96,50.0,10
4597,4.799999999999998,59.98,50.0,10
230761,4.799999999999999,10.612244897959183,49.0,10
363231,4.799999999999998,64.35416666666667,48.0,10
287504,4.5,34.829787234042556,47.0,10
297266,4.799999999999998,70.28260869565217,46.0,10
436225,4.900000000000002,1.0,46.0,10
80098,4.799999999999999,37.46666666666667,45.0,10
376407,4.900000000000002,65.15555555555555,45.0,10
535740,4.900000000000002,60.84090909090909,44.0,10
378230,4.900000000000002,68.47727272727273,44.0,10
452614,4.900000000000002,64.65116279069767,43.0,10
331933,4.900000000000002,71.55813953488372,43.0,10
370412,4.799999999999999,55.146341463414636,41.0,10
468223,4.799999999999999,24.097560975609756,41.0,10
495724,4.700000000000001,16.95,40.0,10
260845,4.599999999999999,29.3,40.0,10
2963,4.5,72.17948717948718,39.0,10
348854,4.700000000000001,24.36842105263158,38.0,10
261386,4.5,67.52631578947368,38.0,10
1035696,3.5054054054054076,47.7027027027027,37.0,10
235854,4.700000000000001,58.666666666666664,36.0,10
489963,5.0,41.52777777777778,36.0,10
318247,4.799999999999998,62.68571428571428,35.0,10
410254,5.0,39.38235294117647,34.0,10
405486,4.700000000000001,64.91176470588235,34.0,10
422249,4.9,73.52941176470588,34.0,10
430482,4.799999999999999,73.3030303030303,33.0,10
379463,4.700000000000001,20.545454545454547,33.0,10
28737,4.700000000000001,17.65625,32.0,10
559674,5.0,34.87096774193548,31.0,10
558653,0.0,35.54838709677419,31.0,10
1035519,3.474193548387096,47.67741935483871,31.0,10
434573,4.799999999999999,68.45161290322581,31.0,10
1011750,4.892857142857143,34.92857142857143,28.0,10
429812,4.9,70.67857142857143,28.0,10
272619,4.6000000000000005,20.321428571428573,28.0,10
255625,4.700000000000001,29.25,28.0,10
528214,5.0,6.037037037037037,27.0,10
290728,4.700000000000001,8.925925925925926,27.0,10
283174,4.900000000000002,14.307692307692308,26.0,10
1006973,4.799999999999999,34.84615384615385,26.0,10
238752,4.700000000000001,64.28,25.0,10
548034,4.600000000000001,43.08,25.0,10
485522,5.0,50.208333333333336,24.0,10
378532,4.8999999999999995,44.208333333333336,24.0,10
252620,4.6000000000000005,49.041666666666664,24.0,10
410858,4.362500000000002,39.708333333333336,24.0,10
293635,4.887499999999999,63.333333333333336,24.0,10
1003346,5.0,29.545454545454547,22.0,10
546441,4.6,15.318181818181818,22.0,10
527837,4.6818181818181825,37.31818181818182,22.0,10
246831,4.600000000000001,17.952380952380953,21.0,10
300814,4.700000000000001,11.45,20.0,10
27374,4.700000000000001,25.6,20.0,10
577053,5.0,10.947368421052632,19.0,10
558229,4.8,42.05555555555556,18.0,10
558243,4.8999999999999995,43.22222222222222,18.0,10
279825,4.866666666666665,71.0,18.0,10
485173,4.8999999999999995,62.166666666666664,18.0,10
250204,4.799999999999999,7.352941176470588,17.0,10
240891,4.6000000000000005,6.0588235294117645,17.0,10
560696,5.0,39.4375,16.0,10
338046,4.8,28.0625,16.0,10
439702,4.8,29.1875,16.0,10
245373,4.900000000000001,29.213675213675213,117.0,11
354455,4.800000000000005,36.348214285714285,112.0,11
454350,4.900000000000004,34.121212121212125,99.0,11
557614,4.900000000000003,34.9,70.0,11
240519,4.699999999999999,42.05882352941177,68.0,11
378162,4.900000000000003,26.147540983606557,61.0,11
498808,4.8,17.271186440677965,59.0,11
354456,4.599999999999998,11.694915254237289,59.0,11
1002228,4.840677966101696,37.271186440677965,59.0,11
1002252,4.8,30.305084745762713,59.0,11
495920,4.599999999999998,33.57627118644068,59.0,11
2530,4.435593220338983,31.508474576271187,59.0,11
319482,4.700000000000001,12.508474576271187,59.0,11
281797,4.700000000000001,20.11864406779661,59.0,11
460535,4.8,30.389830508474578,59.0,11
305953,4.8,43.440677966101696,59.0,11
462661,5.0,22.084745762711865,59.0,11
452027,4.900000000000002,51.79661016949152,59.0,11
436989,4.8,18.728813559322035,59.0,11
469768,4.900000000000003,61.46551724137931,58.0,11
521486,4.900000000000003,59.51724137931034,58.0,11
524160,4.8,64.84482758620689,58.0,11
261586,4.5,55.189655172413794,58.0,11
477203,4.8,40.87931034482759,58.0,11
521359,5.0,35.86206896551724,58.0,11
234149,4.700000000000001,52.689655172413794,58.0,11
24391,4.700000000000001,61.206896551724135,58.0,11
38351,4.0,57.87931034482759,58.0,11
294955,4.8,64.42105263157895,57.0,11
